,time,type,price
0,2017-06-18 21:01:35,BUY,2514.1
0,2017-06-18 21:03:50,CLOSE,2517.61
0,2017-06-18 21:04:19,BUY,2514.29
0,2017-06-18 21:05:11,CLOSE,2518.19
0,2017-06-18 21:08:04,BUY,2510.81
0,2017-06-18 21:09:27,CLOSE,2513.54
0,2017-06-18 21:09:35,SELL,2514.03
0,2017-06-18 21:19:26,CLOSE,2525.35
0,2017-06-18 21:20:03,SELL,2532.8
0,2017-06-18 21:20:40,CLOSE,2531.71
0,2017-06-18 21:22:30,SELL,2536.74
0,2017-06-18 21:25:27,CLOSE,2535.27
0,2017-06-18 21:30:50,BUY,2540.74
0,2017-06-18 21:48:33,CLOSE,2510.45
0,2017-06-18 21:50:12,SELL,2511.69
0,2017-06-18 21:55:19,CLOSE,2526.38
0,2017-06-18 22:00:41,SELL,2529.0
0,2017-06-18 22:05:40,CLOSE,2534.11
0,2017-06-18 22:08:35,BUY,2533.57
0,2017-06-18 22:18:31,CLOSE,2527.37
0,2017-06-18 22:18:42,SELL,2527.37
0,2017-06-18 22:20:35,CLOSE,2532.84
0,2017-06-18 22:20:49,BUY,2532.15
0,2017-06-18 22:23:16,CLOSE,2535.4
0,2017-06-18 22:25:03,BUY,2527.27
0,2017-06-18 22:30:05,CLOSE,2528.18
0,2017-06-18 22:35:22,SELL,2532.38
0,2017-06-18 22:36:22,CLOSE,2529.71
0,2017-06-18 22:36:23,SELL,2534.45
0,2017-06-18 22:36:38,CLOSE,2529.71
0,2017-06-18 22:41:04,BUY,2528.25
0,2017-06-18 22:44:29,CLOSE,2527.33
0,2017-06-18 22:45:44,BUY,2521.89
0,2017-06-18 22:48:09,CLOSE,2509.51
0,2017-06-18 22:50:12,BUY,2503.93
0,2017-06-18 22:51:06,CLOSE,2507.64
0,2017-06-18 22:54:06,SELL,2506.31
0,2017-06-18 22:54:08,CLOSE,2500.19
0,2017-06-18 22:54:39,SELL,2509.08
0,2017-06-18 22:58:37,CLOSE,2511.0
0,2017-06-18 23:04:13,SELL,2514.65
0,2017-06-18 23:07:20,CLOSE,2511.34
0,2017-06-18 23:13:26,SELL,2516.88
0,2017-06-18 23:14:46,CLOSE,2518.6
0,2017-06-18 23:17:21,SELL,2525.0
0,2017-06-18 23:21:59,CLOSE,2525.43
0,2017-06-18 23:22:56,BUY,2523.53
0,2017-06-18 23:27:26,CLOSE,2523.65
0,2017-06-18 23:28:04,SELL,2526.01
0,2017-06-18 23:38:36,CLOSE,2538.16
0,2017-06-18 23:38:46,SELL,2544.98
0,2017-06-18 23:39:24,CLOSE,2539.62
0,2017-06-18 23:41:05,BUY,2540.0
0,2017-06-18 23:43:27,CLOSE,2544.97
0,2017-06-18 23:43:35,SELL,2544.99
0,2017-06-18 23:45:57,CLOSE,2546.59
0,2017-06-18 23:49:42,BUY,2542.0
0,2017-06-18 23:51:26,CLOSE,2546.0
0,2017-06-18 23:51:36,SELL,2547.32
0,2017-06-18 23:52:16,CLOSE,2542.02
0,2017-06-18 23:56:06,SELL,2543.72
0,2017-06-18 23:57:05,CLOSE,2540.9
0,2017-06-18 23:57:06,BUY,2541.24
0,2017-06-18 23:57:15,CLOSE,2546.05
0,2017-06-18 23:57:44,SELL,2549.0
0,2017-06-18 23:59:06,CLOSE,2546.71
0,2017-06-19 00:04:05,SELL,2556.0
0,2017-06-19 00:07:14,CLOSE,2556.67
0,2017-06-19 00:08:28,BUY,2556.35
0,2017-06-19 00:14:06,CLOSE,2559.78
0,2017-06-19 00:14:12,SELL,2561.63
0,2017-06-19 00:16:09,CLOSE,2560.92
0,2017-06-19 00:17:51,SELL,2563.87
0,2017-06-19 00:18:03,CLOSE,2559.48
0,2017-06-19 00:18:19,SELL,2564.54
0,2017-06-19 00:18:36,CLOSE,2559.45
0,2017-06-19 00:19:56,SELL,2567.39
0,2017-06-19 00:20:34,CLOSE,2559.0
0,2017-06-19 00:27:15,SELL,2563.05
0,2017-06-19 00:27:30,CLOSE,2560.23
0,2017-06-19 00:30:59,SELL,2564.38
0,2017-06-19 00:32:04,CLOSE,2560.34
0,2017-06-19 00:33:16,BUY,2560.13
0,2017-06-19 00:34:43,CLOSE,2563.45
0,2017-06-19 00:36:29,SELL,2566.98
0,2017-06-19 00:36:42,CLOSE,2562.32
0,2017-06-19 00:38:25,SELL,2565.83
0,2017-06-19 00:39:21,CLOSE,2562.36
0,2017-06-19 00:43:41,BUY,2560.0
0,2017-06-19 00:44:31,CLOSE,2562.77
0,2017-06-19 00:47:41,BUY,2557.58
0,2017-06-19 00:52:32,CLOSE,2557.16
0,2017-06-19 00:52:36,SELL,2557.75
0,2017-06-19 01:05:19,CLOSE,2559.11
0,2017-06-19 01:07:17,SELL,2561.09
0,2017-06-19 01:08:55,CLOSE,2559.58
0,2017-06-19 01:10:35,BUY,2558.66
0,2017-06-19 01:17:39,CLOSE,2554.39
0,2017-06-19 01:18:13,SELL,2555.06
0,2017-06-19 01:31:44,CLOSE,2557.44
0,2017-06-19 01:32:16,BUY,2557.14
0,2017-06-19 01:38:09,CLOSE,2557.14
0,2017-06-19 01:38:20,SELL,2557.29
0,2017-06-19 01:50:35,CLOSE,2558.14
0,2017-06-19 01:50:37,BUY,2558.17
0,2017-06-19 01:52:26,CLOSE,2564.45
0,2017-06-19 01:52:39,SELL,2564.36
0,2017-06-19 01:54:51,CLOSE,2561.9
0,2017-06-19 01:56:32,BUY,2561.9
0,2017-06-19 02:05:26,CLOSE,2562.5
0,2017-06-19 02:08:03,SELL,2564.23
0,2017-06-19 02:27:21,CLOSE,2573.24
0,2017-06-19 02:27:22,BUY,2572.3
0,2017-06-19 02:45:32,CLOSE,2566.11
0,2017-06-19 02:48:43,SELL,2568.49
0,2017-06-19 02:53:14,CLOSE,2568.22
0,2017-06-19 02:53:30,BUY,2568.38
0,2017-06-19 02:57:19,CLOSE,2568.24
0,2017-06-19 02:57:27,SELL,2569.61
0,2017-06-19 03:00:49,CLOSE,2570.86
0,2017-06-19 03:01:22,BUY,2564.91
0,2017-06-19 03:05:34,CLOSE,2565.95
0,2017-06-19 03:05:49,SELL,2566.68
0,2017-06-19 03:09:45,CLOSE,2564.21
0,2017-06-19 03:11:51,SELL,2568.89
0,2017-06-19 03:13:50,CLOSE,2566.72
0,2017-06-19 03:22:24,BUY,2566.61
0,2017-06-19 03:22:33,CLOSE,2569.0
0,2017-06-19 03:22:37,SELL,2572.0
0,2017-06-19 03:23:54,CLOSE,2566.58
0,2017-06-19 03:27:06,BUY,2564.21
0,2017-06-19 03:29:40,CLOSE,2564.62
0,2017-06-19 03:29:52,SELL,2565.88
0,2017-06-19 03:32:27,CLOSE,2560.93
0,2017-06-19 03:32:52,BUY,2560.28
0,2017-06-19 03:33:50,CLOSE,2565.91
0,2017-06-19 03:35:02,BUY,2556.58
0,2017-06-19 03:36:09,CLOSE,2559.77
0,2017-06-19 03:37:54,BUY,2555.12
0,2017-06-19 03:39:23,CLOSE,2559.04
0,2017-06-19 03:41:31,SELL,2561.8
0,2017-06-19 03:41:34,CLOSE,2558.26
0,2017-06-19 03:41:39,SELL,2562.97
0,2017-06-19 03:41:40,CLOSE,2558.07
0,2017-06-19 03:41:45,SELL,2562.97
0,2017-06-19 03:43:41,CLOSE,2566.83
0,2017-06-19 03:47:03,BUY,2569.71
0,2017-06-19 03:51:32,CLOSE,2572.92
0,2017-06-19 03:55:38,SELL,2575.0
0,2017-06-19 03:58:13,CLOSE,2574.03
